where,cue,feature,translated,frequency_feature,frequency_translated,n,normalized_feature,normalized_translated,pos_cue,pos_feature,pos_translated,a1,a2,a3,FSG,BSG,word_list,school_code
b,abandon,desert,desert,9,9,60,15,15,verb,noun,noun,0,0,0,NA,NA,mturk,4
b,abandon,give,give,19,19,60,31.66666667,31.66666667,verb,verb,verb,0,0,0,NA,NA,mturk,4
b,abandon,leave,leave,26,32,60,43.33333333,53.33333333,verb,verb,verb,0,0,0,NA,NA,mturk,4
b,abandon,leaving,leave,1,32,60,1.666666667,53.33333333,verb,verb,verb,present_participle,0,0,NA,NA,mturk,4
b,abandon,left,leave,5,32,60,8.333333333,53.33333333,verb,adjective,verb,past_tense,0,0,NA,NA,mturk,4
b,abandon,up,up,18,18,60,30,30,verb,other,other,0,0,0,NA,NA,mturk,4
b,abandon,withdraw,withdraw,8,8,60,13.33333333,13.33333333,verb,verb,verb,0,0,0,NA,NA,mturk,4
b,abdomen,belly,belly,7,7,30,23.33333333,23.33333333,noun,noun,noun,0,0,0,0.013,0,mturk2,5
b,abdomen,body,body,10,10,30,33.33333333,33.33333333,noun,noun,noun,0,0,0,0.072,0,mturk2,5
b,abdomen,middle,middle,7,7,30,23.33333333,23.33333333,noun,adjective,adjective,0,0,0,NA,NA,mturk2,5
b,abdomen,muscle,muscle,2,8,30,6.666666667,26.66666667,noun,noun,noun,0,0,0,0.046,0,mturk2,5
b,abdomen,muscles,muscle,5,8,30,16.66666667,26.66666667,noun,noun,noun,numbers,0,0,0.046,0,mturk2,5
b,abdomen,musculature,muscle,1,8,30,3.333333333,26.66666667,noun,noun,noun,characteristic,0,0,0.046,0,mturk2,5
b,abdomen,organs,organ,5,5,30,16.66666667,16.66666667,noun,noun,noun,numbers,0,0,0.02,0,mturk2,5
b,abdomen,stomach,stomach,21,21,30,70,70,noun,noun,noun,0,0,0,0.566,0.021,mturk2,5
b,abduct,against,against,8,8,30,26.66666667,26.66666667,verb,other,other,0,0,0,NA,NA,mturk2,5
b,abduct,away,away,9,9,30,30,30,verb,other,other,0,0,0,NA,NA,mturk2,5
b,abduct,kidnap,kidnap,16,17,30,53.33333333,56.66666667,verb,verb,verb,0,0,0,0.453,0.079,mturk2,5
b,abduct,kidnapping,kidnap,1,17,30,3.333333333,56.66666667,verb,noun,verb,present_participle,0,0,0.453,0.079,mturk2,5
b,abduct,steal,steal,10,10,30,33.33333333,33.33333333,verb,verb,verb,0,0,0,0.067,0,mturk2,5
b,abduct,take,take,19,20,30,63.33333333,66.66666667,verb,verb,verb,0,0,0,0.18,0,mturk2,5
b,abduct,taken,take,1,20,30,3.333333333,66.66666667,verb,verb,verb,past_tense,0,0,0.18,0,mturk2,5
b,abduct,will,will,8,8,30,26.66666667,26.66666667,verb,noun,noun,0,0,0,NA,NA,mturk2,5
b,ability,abilities,able,1,19,60,1.666666667,31.66666667,noun,noun,adjective,characteristic,numbers,0,0.077,0.014,mturk,4
b,ability,able,able,17,19,60,28.33333333,31.66666667,noun,adjective,adjective,0,0,0,0.077,0.014,mturk,4
b,ability,capability,capable,7,15,60,11.66666667,25,noun,noun,adjective,person_object,0,0,0.119,0.282,mturk,4
b,ability,capable,capable,8,15,60,13.33333333,25,noun,adjective,adjective,0,0,0,NA,NA,mturk,4
b,ability,capacity,capacity,17,17,60,28.33333333,28.33333333,noun,noun,noun,0,0,0,0.014,0.086,mturk,4
b,ability,enabled,able,1,19,60,1.666666667,31.66666667,noun,verb,adjective,actions_process,past_tense,0,0.077,0.014,mturk,4
b,ability,power,power,19,21,60,31.66666667,35,noun,noun,noun,0,0,0,0.035,0,mturk,4
b,ability,powerfulness,power,1,21,60,1.666666667,35,noun,noun,noun,characteristic,characteristic,0,0.035,0,mturk,4
b,ability,qualities,quality,1,15,60,1.666666667,25,noun,noun,noun,numbers,0,0,NA,NA,mturk,4
b,ability,quality,quality,14,15,60,23.33333333,25,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,ability,skill,skill,15,20,60,25,33.33333333,noun,noun,noun,0,0,0,0.056,0.102,mturk,4
b,ability,skills,skill,5,20,60,8.333333333,33.33333333,noun,noun,noun,numbers,0,0,0.056,0.102,mturk,4
b,ability,superpower,power,1,21,60,1.666666667,35,noun,noun,noun,magnitude,0,0,0.035,0,mturk,4
b,ability,talent,talent,17,20,60,28.33333333,33.33333333,noun,noun,noun,0,0,0,0.035,0.048,mturk,4
b,ability,talented,talent,1,20,60,1.666666667,33.33333333,noun,adjective,noun,characteristic,0,0,0.035,0.048,mturk,4
b,ability,talents,talent,2,20,60,3.333333333,33.33333333,noun,noun,noun,numbers,0,0,0.035,0.048,mturk,4
b,able,action,act,2,5,59,3.389830508,8.474576271,adjective,noun,noun,actions_process,0,0,NA,NA,wl2,1
b,able,active,act,1,5,59,1.694915254,8.474576271,adjective,adjective,noun,characteristic,0,0,NA,NA,wl2,1
b,able,activity,act,1,5,59,1.694915254,8.474576271,adjective,noun,noun,characteristic,characteristic,0,NA,NA,wl2,1
b,able,acts,act,1,5,59,1.694915254,8.474576271,adjective,noun,noun,numbers,0,0,NA,NA,wl2,1
b,able,capable,capable,23,23,59,38.98305085,38.98305085,adjective,adjective,adjective,0,0,0,0.095,NA,wl2,1
b,able,he,he,3,5,59,5.084745763,8.474576271,adjective,other,other,0,0,0,NA,NA,wl2,1
b,able,his,he,2,5,59,3.389830508,8.474576271,adjective,other,other,0,0,0,NA,NA,wl2,1
b,able,know,know,1,5,59,1.694915254,8.474576271,adjective,verb,verb,0,0,0,NA,NA,wl2,1
b,able,knowing,know,1,5,59,1.694915254,8.474576271,adjective,verb,verb,present_participle,0,0,NA,NA,wl2,1
b,able,knowledge,know,2,5,59,3.389830508,8.474576271,adjective,noun,verb,person_object,0,0,NA,NA,wl2,1
b,able,known,know,1,5,59,1.694915254,8.474576271,adjective,verb,verb,past_tense,0,0,NA,NA,wl2,1
b,able,willing,will,16,18,59,27.11864407,30.50847458,adjective,adjective,noun,present_participle,0,0,0.264,0.348,wl2,1
b,able,willingness,will,2,18,59,3.389830508,30.50847458,adjective,noun,noun,present_participle,characteristic,0,NA,NA,wl2,1
b,abnormal,different,differ,16,16,58,27.5862069,27.5862069,adjective,adjective,verb,characteristic,0,0,0.05,0,wl1,1
b,abnormal,normal,normal,16,18,58,27.5862069,31.03448276,adjective,adjective,adjective,0,0,0,0.281,0.34,wl1,1
b,abnormal,normalcy,normal,1,18,58,1.724137931,31.03448276,adjective,noun,adjective,characteristic,0,0,0.281,0.34,wl1,1
b,abnormal,normality,normal,1,18,58,1.724137931,31.03448276,adjective,noun,adjective,characteristic,0,0,0.281,0.34,wl1,1
b,abnormal,ordinary,ordinary,6,6,58,10.34482759,10.34482759,adjective,adjective,adjective,0,0,0,NA,NA,wl1,1
b,abnormal,strange,strange,11,11,58,18.96551724,18.96551724,adjective,adjective,adjective,0,0,0,0.108,0,wl1,1
b,abnormal,weird,weird,20,20,58,34.48275862,34.48275862,adjective,adjective,adjective,0,0,0,0.216,0.021,wl1,1
b,above,atop,top,1,30,59,1.694915254,50.84745763,other,adjective,adjective,characteristic,0,0,0.036,0.02,wl2,1
b,above,below,below,12,12,59,20.33898305,20.33898305,other,other,other,0,0,0,0.564,0.503,wl2,1
b,above,high,high,9,28,59,15.25423729,47.45762712,other,adjective,adjective,0,0,0,0.057,0,wl2,1
b,above,higher,high,19,28,59,32.20338983,47.45762712,other,adjective,adjective,magnitude,0,0,0.057,0,wl2,1
b,above,over,over,21,21,59,35.59322034,35.59322034,other,other,other,0,0,0,0.043,0.099,wl2,1
b,above,sky,sky,14,14,59,23.72881356,23.72881356,other,noun,noun,0,0,0,0.014,0,wl2,1
b,above,top,top,29,30,59,49.15254237,50.84745763,other,adjective,adjective,0,0,0,0.036,0.02,wl2,1
b,above,up,up,14,14,59,23.72881356,23.72881356,other,other,other,0,0,0,0.064,0,wl2,1
b,abstract,art,art,5,5,30,16.66666667,16.66666667,adjective,noun,noun,0,0,0,0.233,0.013,mturk2,5
b,abstract,concrete,concrete,7,7,30,23.33333333,23.33333333,adjective,adjective,adjective,0,0,0,0.041,0.027,mturk2,5
b,abstract,different,differ,6,6,30,20,20,adjective,adjective,verb,characteristic,0,0,0.041,0,mturk2,5
b,abstract,idea,idea,3,6,30,10,20,adjective,noun,noun,0,0,0,0.014,0,mturk2,5
b,abstract,ideal,idea,2,6,30,6.666666667,20,adjective,adjective,noun,characteristic,0,0,0.014,0,mturk2,5
b,abstract,ideas,idea,1,6,30,3.333333333,20,adjective,noun,noun,numbers,0,0,0.014,0,mturk2,5
b,abstract,real,real,2,5,30,6.666666667,16.66666667,adjective,adjective,adjective,0,0,0,NA,NA,mturk2,5
b,abstract,reality,real,1,5,30,3.333333333,16.66666667,adjective,noun,adjective,characteristic,0,0,NA,NA,mturk2,5
b,abstract,unreal,real,2,5,30,6.666666667,16.66666667,adjective,adjective,adjective,not,0,0,0.014,NA,mturk2,5
b,absurd,believe,belief,3,8,58,5.172413793,13.79310345,adjective,verb,noun,past_tense,0,0,NA,NA,wl1,1
b,absurd,crazy,craze,15,15,58,25.86206897,25.86206897,adjective,adjective,noun,characteristic,0,0,0.137,0,wl1,1
b,absurd,heard,hear,1,6,58,1.724137931,10.34482759,adjective,verb,verb,past_tense,0,0,NA,NA,wl1,1
b,absurd,meaning,mean,2,6,58,3.448275862,10.34482759,adjective,noun,noun,present_participle,0,0,NA,NA,wl1,1
b,absurd,meaningless,mean,4,6,58,6.896551724,10.34482759,adjective,adjective,noun,present_participle,not,0,NA,NA,wl1,1
b,absurd,ridiculous,ridicule,17,17,58,29.31034483,29.31034483,adjective,adjective,noun,characteristic,0,0,0.268,0.034,wl1,1
b,absurd,unbelievable,belief,5,8,58,8.620689655,13.79310345,adjective,adjective,noun,not,actions_process,actions_process,0.02,NA,wl1,1
b,absurd,unheard,hear,5,6,58,8.620689655,10.34482759,adjective,adjective,verb,past_tense,0,0,NA,NA,wl1,1
b,abundance,enough,enough,7,7,30,23.33333333,23.33333333,noun,adjective,adjective,0,0,0,NA,NA,mturk2,5
b,abundance,large,large,4,4,30,13.33333333,13.33333333,noun,adjective,adjective,0,0,0,0.013,0,mturk2,5
b,abundance,many,many,6,6,30,20,20,noun,adjective,adjective,0,0,0,0.079,0,mturk2,5
b,abundance,plentiful,plenty,1,14,30,3.333333333,46.66666667,noun,adjective,noun,characteristic,0,0,0.125,0.077,mturk2,5
b,abundance,plentitude,plenty,1,14,30,3.333333333,46.66666667,noun,noun,noun,characteristic,0,0,0.125,0.077,mturk2,5
b,abundance,plenty,plenty,12,14,30,40,46.66666667,noun,noun,noun,0,0,0,0.125,0.077,mturk2,5
b,abundance,wealth,wealth,4,5,30,13.33333333,16.66666667,noun,noun,noun,0,0,0,NA,NA,mturk2,5
b,abundance,wealthy,wealth,1,5,30,3.333333333,16.66666667,noun,adjective,noun,characteristic,0,0,NA,NA,mturk2,5
b,abuse,emotion,emotion,1,24,76,1.315789474,31.57894737,verb,noun,noun,0,0,0,NA,NA,wl17b,3
b,abuse,emotional,emotion,22,24,76,28.94736842,31.57894737,verb,adjective,noun,characteristic,0,0,NA,NA,wl17b,3
b,abuse,emotionally,emotion,1,24,76,1.315789474,31.57894737,verb,other,noun,characteristic,characteristic,0,NA,NA,wl17b,3
b,abuse,harm,harm,10,15,76,13.15789474,19.73684211,verb,noun,noun,0,0,0,NA,NA,wl17b,3
b,abuse,harmful,harm,4,15,76,5.263157895,19.73684211,verb,adjective,noun,characteristic,0,0,NA,NA,wl17b,3
b,abuse,harming,harm,1,15,76,1.315789474,19.73684211,verb,verb,noun,present_participle,0,0,NA,NA,wl17b,3
b,abuse,hurt,hurt,8,26,76,10.52631579,34.21052632,verb,verb,verb,0,0,0,0.141,0,wl17b,3
b,abuse,hurtful,hurt,5,26,76,6.578947368,34.21052632,verb,adjective,verb,characteristic,0,0,0.141,0,wl17b,3
b,abuse,hurting,hurt,6,26,76,7.894736842,34.21052632,verb,verb,verb,present_participle,0,0,0.141,0,wl17b,3
b,abuse,hurts,hurt,7,26,76,9.210526316,34.21052632,verb,verb,verb,third_person,0,0,0.141,0,wl17b,3
b,abuse,mental,mental,13,16,76,17.10526316,21.05263158,verb,adjective,adjective,0,0,0,NA,NA,wl17b,3
b,abuse,mentally,mental,3,16,76,3.947368421,21.05263158,verb,other,adjective,characteristic,0,0,NA,NA,wl17b,3
b,abuse,pain,pain,8,13,76,10.52631579,17.10526316,verb,noun,noun,0,0,0,0.025,0,wl17b,3
b,abuse,painful,pain,5,13,76,6.578947368,17.10526316,verb,adjective,noun,characteristic,0,0,0.025,0,wl17b,3
b,abuse,people,person,8,14,76,10.52631579,18.42105263,verb,noun,noun,numbers,0,0,NA,NA,wl17b,3
b,abuse,person,person,6,14,76,7.894736842,18.42105263,verb,noun,noun,0,0,0,NA,NA,wl17b,3
b,abuse,physical,physic,41,44,76,53.94736842,57.89473684,verb,adjective,noun,characteristic,0,0,NA,NA,wl17b,3
b,abuse,physically,physic,3,44,76,3.947368421,57.89473684,verb,adjective,noun,characteristic,0,0,NA,NA,wl17b,3
b,abuse,verbal,verb,19,21,76,25,27.63157895,verb,adjective,noun,characteristic,0,0,NA,NA,wl17b,3
b,abuse,verbally,verb,2,21,76,2.631578947,27.63157895,verb,other,noun,characteristic,0,0,NA,NA,wl17b,3
b,accelerate,fast,fast,1,20,30,3.333333333,66.66666667,verb,adjective,adjective,0,0,0,0.271,0,mturk2,5
b,accelerate,faster,fast,19,20,30,63.33333333,66.66666667,verb,other,adjective,magnitude,0,0,0.271,0,mturk2,5
b,accelerate,gas,gas,5,5,30,16.66666667,16.66666667,verb,noun,noun,0,0,0,0.029,0,mturk2,5
b,accelerate,increase,increase,8,9,30,26.66666667,30,verb,noun,noun,0,0,0,0.029,0.014,mturk2,5
b,accelerate,increasing,increase,1,9,30,3.333333333,30,verb,verb,noun,present_participle,0,0,0.029,0.014,mturk2,5
b,accelerate,move,move,7,8,30,23.33333333,26.66666667,verb,verb,verb,0,0,0,NA,NA,mturk2,5
b,accelerate,moving,move,1,8,30,3.333333333,26.66666667,verb,verb,verb,present_participle,0,0,NA,NA,mturk2,5
b,accelerate,speed,speed,21,21,30,70,70,verb,noun,noun,0,0,0,0.386,0.02,mturk2,5
b,accelerate,up,up,15,15,30,50,50,verb,other,other,0,0,0,NA,NA,mturk2,5
v,accept,acknowledge,acknowledge,1,1,20,5,5,verb,verb,verb,0,0,0,0.02,0.069,NA,NA
v,accept,action,act,4,4,20,20,20,verb,noun,noun,actions_process,0,0,NA,NA,NA,NA
v,accept,agree,agree,7,7,20,35,35,verb,verb,verb,0,0,0,0.074,0,NA,NA
v,accept,allow,allow,1,1,20,5,5,verb,verb,verb,0,0,0,0.034,0,NA,NA
v,accept,comprehend,comprehend,1,1,20,5,5,verb,verb,verb,0,0,0,NA,NA,NA,NA
v,accept,emotion,emotion,4,4,20,20,20,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,accept,feel,feel,2,2,20,10,10,verb,verb,verb,0,0,0,NA,NA,NA,NA
v,accept,gift,gift,1,1,20,5,5,verb,noun,noun,0,0,0,0.013,0,NA,NA
v,accept,give,give,3,3,20,15,15,verb,verb,verb,0,0,0,0.013,0,NA,NA
v,accept,humans,human,3,3,20,15,15,verb,noun,adjective,numbers,0,0,NA,NA,NA,NA
v,accept,intentional,intent,3,3,20,15,15,verb,adjective,noun,actions_process,characteristic,0,NA,NA,NA,NA
v,accept,job,job,2,2,20,10,10,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,accept,life,life,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,accept,obtain,obtain,1,1,20,5,5,verb,verb,verb,0,0,0,NA,NA,NA,NA
v,accept,position,position,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,accept,receive,receive,6,6,20,30,30,verb,verb,verb,0,0,0,0.013,0,NA,NA
v,accept,take,take,8,8,20,40,40,verb,verb,verb,0,0,0,0.168,0,NA,NA
v,accept,understand,understand,2,2,20,10,10,verb,verb,verb,0,0,0,0.047,0,NA,NA
v,accept,verb,verb,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,accept,want,want,1,1,20,5,5,verb,verb,verb,0,0,0,0.013,0,NA,NA
v,accept,word,word,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
b,accomplish,achieve,achieve,8,10,30,26.66666667,33.33333333,verb,verb,verb,0,0,0,0.122,0.076,mturk2,5
b,accomplish,achieved,achieve,1,10,30,3.333333333,33.33333333,verb,verb,verb,past_tense,0,0,0.122,0.076,mturk2,5
b,accomplish,achievements,achieve,1,10,30,3.333333333,33.33333333,verb,noun,verb,actions_process,numbers,0,0.122,0.076,mturk2,5
b,accomplish,complete,complete,11,11,30,36.66666667,36.66666667,verb,adjective,adjective,0,0,0,0.054,0,mturk2,5
b,accomplish,finish,finish,11,17,30,36.66666667,56.66666667,verb,verb,verb,0,0,0,0.34,0,mturk2,5
b,accomplish,finished,finish,2,17,30,6.666666667,56.66666667,verb,verb,verb,past_tense,0,0,0.34,0,mturk2,5
b,accomplish,finishing,finish,4,17,30,13.33333333,56.66666667,verb,verb,verb,present_participle,0,0,0.34,0,mturk2,5
b,accomplish,goal,goal,10,10,30,33.33333333,33.33333333,verb,noun,noun,0,0,0,0.075,0,mturk2,5
b,accomplish,succeed,succeed,5,5,30,16.66666667,16.66666667,verb,verb,verb,0,0,0,0.075,0.028,mturk2,5
b,accomplish,task,task,5,5,30,16.66666667,16.66666667,verb,noun,noun,0,0,0,NA,NA,mturk2,5
b,accomplished,achieved,achieve,6,6,30,20,20,verb,verb,verb,past_tense,0,0,NA,NA,mturk2,5
b,accomplished,complete,complete,6,9,30,20,30,verb,adjective,adjective,0,0,0,NA,NA,mturk2,5
b,accomplished,completed,complete,3,9,30,10,30,verb,verb,adjective,past_tense,0,0,0.014,NA,mturk2,5
b,accomplished,finish,finish,4,12,30,13.33333333,40,verb,verb,verb,0,0,0,NA,NA,mturk2,5
b,accomplished,finished,finish,8,12,30,26.66666667,40,verb,verb,verb,past_tense,0,0,0.162,0,mturk2,5
b,accomplished,skilled,skill,4,5,30,13.33333333,16.66666667,verb,adjective,noun,characteristic,0,0,NA,NA,mturk2,5
b,accomplished,skills,skill,1,5,30,3.333333333,16.66666667,verb,noun,noun,numbers,0,0,NA,NA,mturk2,5
b,accomplished,success,success,2,6,30,6.666666667,20,verb,noun,noun,0,0,0,NA,NA,mturk2,5
b,accomplished,successful,success,3,6,30,10,20,verb,adjective,noun,characteristic,0,0,0.074,NA,mturk2,5
b,accomplished,successfully,success,1,6,30,3.333333333,20,verb,other,noun,characteristic,0,0,NA,NA,mturk2,5
m,accordion,air,air,11,11,30,36.66666667,36.66666667,noun,noun,noun,0,0,0,NA,NA,NA,NA
m,accordion,bellows,bellow,8,8,30,26.66666667,26.66666667,noun,verb,verb,third_person,0,0,NA,NA,NA,NA
m,accordion,buttons,button,8,8,30,26.66666667,26.66666667,noun,noun,noun,numbers,0,0,NA,NA,NA,NA
m,accordion,chest,chest,6,6,30,20,20,noun,noun,noun,0,0,0,NA,NA,NA,NA
m,accordion,instrument,instrument,28,28,30,93.33333333,93.33333333,noun,noun,noun,0,0,0,NA,NA,NA,NA
m,accordion,keys,key,17,17,30,56.66666667,56.66666667,noun,noun,adjective,numbers,0,0,NA,NA,NA,NA
m,accordion,loud,loud,6,6,30,20,20,noun,adjective,adjective,0,0,0,NA,NA,NA,NA
m,accordion,moving,move,8,8,30,26.66666667,26.66666667,noun,verb,verb,present_participle,0,0,NA,NA,NA,NA
m,accordion,music,music,6,34,30,20,100,noun,noun,noun,0,0,0,NA,NA,NA,NA
m,accordion,musical,music,28,34,30,93.33333333,100,noun,adjective,noun,characteristic,0,0,NA,NA,NA,NA
m,accordion,polkas,polka,9,9,30,30,30,noun,noun,noun,numbers,0,0,NA,NA,NA,NA
m,accordion,produces,produce,6,6,30,20,20,noun,verb,verb,third_person,0,0,NA,NA,NA,NA
m,accordion,worn,wear,6,6,30,20,20,noun,adjective,verb,characteristic,0,0,NA,NA,NA,NA
b,account,bank,bank,15,19,60,25,31.66666667,noun,noun,noun,0,0,0,0.277,0.035,mturk,4
b,account,banking,bank,4,19,60,6.666666667,31.66666667,noun,noun,noun,present_participle,0,0,0.277,0.035,mturk,4
b,account,business,business,9,10,60,15,16.66666667,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,account,businesses,business,1,10,60,1.666666667,16.66666667,noun,noun,noun,numbers,0,0,NA,NA,mturk,4
b,account,event,event,4,12,60,6.666666667,20,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,account,events,event,8,12,60,13.33333333,20,noun,noun,noun,numbers,0,0,NA,NA,mturk,4
b,account,finance,finance,1,15,60,1.666666667,25,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,account,financial,finance,14,15,60,23.33333333,25,noun,adjective,noun,characteristic,0,0,NA,NA,mturk,4
b,account,money,money,13,13,60,21.66666667,21.66666667,noun,noun,noun,0,0,0,0.312,0,mturk,4
b,account,narration,narrate,3,10,60,5,16.66666667,noun,noun,verb,actions_process,0,0,NA,NA,mturk,4
b,account,narrative,narrate,7,10,60,11.66666667,16.66666667,noun,noun,verb,characteristic,0,0,NA,NA,mturk,4
b,account,record,record,13,14,60,21.66666667,23.33333333,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,account,recorded,record,1,14,60,1.666666667,23.33333333,noun,verb,noun,past_tense,0,0,NA,NA,mturk,4
b,account,related,relate,3,11,60,5,18.33333333,noun,verb,verb,past_tense,0,0,NA,NA,mturk,4
b,account,relates,relate,1,11,60,1.666666667,18.33333333,noun,verb,verb,third_person,0,0,NA,NA,mturk,4
b,account,relating,relate,1,11,60,1.666666667,18.33333333,noun,verb,verb,present_participle,0,0,NA,NA,mturk,4
b,account,relationship,relate,6,11,60,10,18.33333333,noun,noun,verb,actions_process,characteristic,0,NA,NA,mturk,4
b,account,report,report,13,13,60,21.66666667,21.66666667,noun,noun,noun,0,0,0,NA,NA,mturk,4
b,account,transaction,transact,4,12,60,6.666666667,20,noun,noun,verb,actions_process,0,0,NA,NA,mturk,4
b,account,transactions,transact,8,12,60,13.33333333,20,noun,noun,verb,actions_process,numbers,0,NA,NA,mturk,4
b,account,write,write,3,10,60,5,16.66666667,noun,verb,verb,0,0,0,NA,NA,mturk,4
b,account,written,write,7,10,60,11.66666667,16.66666667,noun,verb,verb,characteristic,0,0,NA,NA,mturk,4
b,accumulate,acquire,acquire,4,4,30,13.33333333,13.33333333,verb,verb,verb,0,0,0,0.026,0.041,mturk2,5
b,accumulate,amass,mass,5,6,30,16.66666667,20,verb,verb,noun,characteristic,0,0,0.013,NA,mturk2,5
b,accumulate,collect,collect,9,12,30,30,40,verb,verb,verb,0,0,0,0.159,0,mturk2,5
b,accumulate,collecting,collect,2,12,30,6.666666667,40,verb,verb,verb,present_participle,0,0,0.159,0,mturk2,5
b,accumulate,collection,collect,1,12,30,3.333333333,40,verb,noun,verb,actions_process,0,0,0.159,0,mturk2,5
b,accumulate,gather,gather,14,14,30,46.66666667,46.66666667,verb,verb,verb,0,0,0,0.205,0,mturk2,5
b,accumulate,mass,mass,1,6,30,3.333333333,20,verb,noun,noun,0,0,0,NA,NA,mturk2,5
b,accumulate,up,up,8,8,30,26.66666667,26.66666667,verb,other,other,0,0,0,NA,NA,mturk2,5
b,accumulative,add,add,3,10,50,6,20,adjective,verb,verb,0,0,0,NA,NA,wl3,1
b,accumulative,added,add,2,10,50,4,20,adjective,verb,verb,past_tense,0,0,NA,NA,wl3,1
b,accumulative,adding,add,1,10,50,2,20,adjective,verb,verb,present_participle,0,0,NA,NA,wl3,1
b,accumulative,addition,add,1,10,50,2,20,adjective,noun,verb,actions_process,0,0,NA,NA,wl3,1
b,accumulative,additional,add,1,10,50,2,20,adjective,adjective,verb,actions_process,characteristic,0,NA,NA,wl3,1
