sorting,domain,item_picture,basic_level_concept,basic_level_concept_prod_freq,superordinate_category,superordinate_category_prod_freq,feature_name,feature_sensorimotor_dominant,feature_prod_freq,feature_occ,feature_total_prod_freq,feature_distinct,feature_cv
a000012,nonliving,accordion,accordion,90,instrument,86,bellow,auditory,5,1,5,1.000,1.000
a000007,nonliving,accordion,accordion,90,instrument,86,button,haptic,7,21,296,0.048,0.024
a000024,nonliving,accordion,accordion,90,instrument,86,difficult,visual,3,7,9,0.143,0.333
a000023,nonliving,accordion,accordion,90,instrument,86,flex,visual,3,37,89,0.027,0.034
a000016,nonliving,accordion,accordion,90,instrument,86,fold,visual,4,11,51,0.091,0.078
a000022,nonliving,accordion,accordion,90,instrument,86,fun,interoceptive,3,52,219,0.019,0.014
a000006,nonliving,accordion,accordion,90,instrument,86,heavy,haptic,7,109,772,0.009,0.009
a000021,nonliving,accordion,accordion,90,instrument,86,instrument,auditory,3,7,13,0.143,0.231
a000001,nonliving,accordion,accordion,90,instrument,86,key,visual,36,10,161,0.100,0.224
a000011,nonliving,accordion,accordion,90,instrument,86,keyboard,haptic,5,1,5,1.000,1.000
a000010,nonliving,accordion,accordion,90,instrument,86,large,visual,5,122,864,0.008,0.006
a000015,nonliving,accordion,accordion,90,instrument,86,long,visual,4,128,1235,0.008,0.003
a000003,nonliving,accordion,accordion,90,instrument,86,loud,auditory,31,62,595,0.016,0.052
a000002,nonliving,accordion,accordion,90,instrument,86,music,auditory,31,15,301,0.067,0.103
a000009,nonliving,accordion,accordion,90,instrument,86,noise,auditory,6,53,121,0.019,0.050
a000014,nonliving,accordion,accordion,90,instrument,86,note,visual,4,8,14,0.125,0.286
a000020,nonliving,accordion,accordion,90,instrument,86,old,visual,3,65,179,0.015,0.017
a000019,nonliving,accordion,accordion,90,instrument,86,piano,auditory,3,1,3,1.000,1.000
a000008,nonliving,accordion,accordion,90,instrument,86,play,visual,6,34,138,0.029,0.043
a000018,nonliving,accordion,accordion,90,instrument,86,song,auditory,3,13,31,0.077,0.097
a000004,nonliving,accordion,accordion,90,instrument,86,sound,auditory,14,20,154,0.050,0.091
a000005,nonliving,accordion,accordion,90,instrument,86,squeeze,haptic,8,4,14,0.250,0.571
a000013,nonliving,accordion,accordion,90,instrument,86,stretch,interoceptive,4,8,17,0.125,0.235
a000017,nonliving,accordion,accordion,90,instrument,86,weird,interoceptive,3,6,12,0.167,0.250
a000121,nonliving,airplane,plane,93,transport,47,big,visual,4,116,414,0.009,0.010
a000124,nonliving,airplane,plane,93,transport,47,cabin,visual,3,5,9,0.200,0.333
a000114,nonliving,airplane,plane,93,transport,47,cockpit,visual,7,2,12,0.500,0.583
a000108,nonliving,airplane,plane,93,transport,47,engine,auditory,19,7,69,0.143,0.275
a000110,nonliving,airplane,plane,93,transport,47,fast,visual,16,86,614,0.012,0.026
a000105,nonliving,airplane,plane,93,transport,47,fly,visual,43,26,355,0.038,0.121
a000116,nonliving,airplane,plane,93,transport,47,heavy,haptic,6,109,772,0.009,0.008
a000115,nonliving,airplane,plane,93,transport,47,huge,visual,6,18,53,0.056,0.113
a000118,nonliving,airplane,plane,93,transport,47,jet,visual,5,1,5,1.000,1.000
a000107,nonliving,airplane,plane,93,transport,47,large,visual,23,122,864,0.008,0.027
a000123,nonliving,airplane,plane,93,transport,47,long,visual,3,128,1235,0.008,0.002
a000111,nonliving,airplane,plane,93,transport,47,loud,auditory,9,62,595,0.016,0.015
a000109,nonliving,airplane,plane,93,transport,47,metal,visual,16,100,2252,0.010,0.007
a000120,nonliving,airplane,plane,93,transport,47,pilot,visual,4,2,8,0.500,0.500
a000122,nonliving,airplane,plane,93,transport,47,power,visual,3,35,110,0.029,0.027
a000112,nonliving,airplane,plane,93,transport,47,sky,visual,8,10,53,0.100,0.151
a000119,nonliving,airplane,plane,93,transport,47,transport,visual,4,21,69,0.048,0.058
a000113,nonliving,airplane,plane,93,transport,47,travel,visual,7,18,60,0.056,0.117
a000117,nonliving,airplane,plane,93,transport,47,window,visual,5,13,117,0.077,0.043
a000106,nonliving,airplane,plane,93,transport,47,wing,visual,42,20,403,0.050,0.104
a000201,living,alligator,alligator,83,animal,57,aggressive,interoceptive,3,25,42,0.040,0.071
a000214,living,alligator,alligator,83,animal,57,aquatic,visual,3,11,43,0.091,0.070
a000200,living,alligator,alligator,83,animal,57,claw,visual,3,20,142,0.050,0.021
a000184,living,alligator,alligator,83,animal,57,danger,interoceptive,17,53,274,0.019,0.062
a000199,living,alligator,alligator,83,animal,57,dead,visual,3,11,24,0.091,0.125
a000198,living,alligator,alligator,83,animal,57,dinosaur,visual,3,3,5,0.333,0.600
a000197,living,alligator,alligator,83,animal,57,eye,visual,3,51,201,0.020,0.015
a000190,living,alligator,alligator,83,animal,57,fast,visual,6,86,614,0.012,0.010
a000196,living,alligator,alligator,83,animal,57,florida,NA,3,2,4,0.500,0.750
a000182,living,alligator,alligator,83,animal,57,green,visual,31,37,826,0.027,0.038
a000188,living,alligator,alligator,83,animal,57,large,visual,8,122,864,0.008,0.009
a000195,living,alligator,alligator,83,animal,57,leather,visual,3,27,336,0.037,0.009
a000185,living,alligator,alligator,83,animal,57,long,visual,14,128,1235,0.008,0.011
a000189,living,alligator,alligator,83,animal,57,reptile,visual,7,4,19,0.250,0.368
a000180,living,alligator,alligator,83,animal,57,scale,visual,47,14,134,0.071,0.351
a000192,living,alligator,alligator,83,animal,57,snout,visual,4,13,43,0.077,0.093
a000186,living,alligator,alligator,83,animal,57,strong,visual,9,72,310,0.014,0.029
a000187,living,alligator,alligator,83,animal,57,swamp,visual,8,3,11,0.333,0.727
a000194,living,alligator,alligator,83,animal,57,swim,haptic,3,11,114,0.091,0.026
a000183,living,alligator,alligator,83,animal,57,tail,visual,28,41,643,0.024,0.044
a000181,living,alligator,alligator,83,animal,57,tooth,haptic,31,25,179,0.040,0.173
a000193,living,alligator,alligator,83,animal,57,tough,haptic,3,26,47,0.038,0.064
a000191,living,alligator,alligator,83,animal,57,water,visual,4,45,322,0.022,0.012
a000270,nonliving,anchor,anchor,97,tool,33,big,visual,3,116,414,0.009,0.007
a000250,nonliving,anchor,anchor,97,tool,33,boat,visual,13,3,16,0.333,0.813
a000269,nonliving,anchor,anchor,97,tool,33,gray,visual,3,39,149,0.026,0.020
a000263,nonliving,anchor,anchor,97,tool,33,hard,haptic,4,139,560,0.007,0.007
a000248,nonliving,anchor,anchor,97,tool,33,heavy,haptic,72,109,772,0.009,0.093
a000259,nonliving,anchor,anchor,97,tool,33,hold,haptic,5,56,176,0.018,0.028
a000258,nonliving,anchor,anchor,97,tool,33,hook,visual,5,11,33,0.091,0.152
a000257,nonliving,anchor,anchor,97,tool,33,iron,visual,5,19,65,0.053,0.077
a000251,nonliving,anchor,anchor,97,tool,33,large,visual,12,122,864,0.008,0.014
a000249,nonliving,anchor,anchor,97,tool,33,metal,visual,58,100,2252,0.010,0.026
a000256,nonliving,anchor,anchor,97,tool,33,ocean,visual,6,6,38,0.167,0.158
a000268,nonliving,anchor,anchor,97,tool,33,point,visual,3,38,307,0.026,0.010
a000262,nonliving,anchor,anchor,97,tool,33,ring,visual,4,19,85,0.053,0.047
