a,1,0
abandon,7,1
ability,7,2
able,4,3
abolish,7,4
about,5,5
above,5,5
abroad,6,5
absence,7,6
absent,6,6
absorb,6,6
absurd,6,6
abuse,5,5
academy,7,2
accent,6,6
accept,6,6
access,6,6
account,7,6
accuse,6,6
accused,7,6
achieve,7,5
acid,4,7
acquire,7,6
acre,4,3
across,6,5
act,3,8
action,6,6
active,6,6
actor,5,6
actress,7,6
actual,6,9
acute,5,5
ad,2,8
adapt,5,5
add,3,8
address,7,6
adhere,6,6
adjust,6,6
admire,6,6
admit,5,6
adopt,5,5
adult,5,5
advance,7,6
adverse,7,6
advice,6,6
advise,6,6
affair,6,6
affect,6,6
afford,6,6
afraid,6,5
after,5,6
again,5,5
against,7,5
age,3,8
aged,4,8
agency,6,10
agenda,6,10
agent,5,5
ago,3,3
agree,5,3
ahead,5,5
aid,3,8
aide,4,8
aim,3,8
air,3,8
airline,7,6
airport,7,6
alarm,5,5
albeit,6,9
album,5,6
alcohol,7,11
alert,5,5
alien,5,12
align,5,5
alike,5,5
alive,5,5
all,3,8
allege,6,6
allow,5,6
ally,4,13
almost,6,6
alone,5,5
along,5,5
already,7,14
also,4,13
alter,5,6
always,6,7
amateur,7,15
amazed,6,5
amazing,7,4
amend,5,5
amid,4,5
among,5,5
amount,6,5
amusing,7,4
analogy,7,2
analyse,7,15
analyst,7,15
anchor,6,6
ancient,7,6
and,3,8
angel,5,6
anger,5,6
angle,5,13
angrily,7,16
angry,5,13
animal,6,15
ankle,5,13
annoy,5,6
annoyed,7,6
annual,6,9
another,7,17
answer,6,6
anxiety,7,18
anxious,7,7
any,3,3
anybody,7,19
anyone,6,20
anyway,6,21
apart,5,5
apology,7,2
app,3,8
appeal,6,6
appear,6,6
applaud,7,6
apple,5,13
apply,5,13
appoint,7,6
approve,7,6
april,5,5
archive,7,6
area,4,21
arena,5,22
argue,5,13
arise,5,5
arm,3,8
armed,5,8
arms,4,8
army,4,13
around,6,5
arrange,7,6
array,5,13
arrest,6,6
arrival,7,11
arrive,6,6
arrow,5,13
art,3,8
article,7,16
artist,6,7
artwork,7,7
as,2,8
ash,3,8
ashamed,7,5
aside,5,5
ask,3,8
asleep,6,5
aspect,6,6
aspire,6,6
assault,7,6
assert,6,6
assess,6,6
asset,5,6
assign,6,6
assist,6,6
assume,6,6
assure,6,6
asylum,6,23
at,2,8
athlete,7,6
attach,6,6
attack,6,6
attain,6,6
attempt,7,6
attend,6,6
attract,7,6
auction,7,6
