a,1,,a,,,,,,,,,,
abandon,7,,a,,b,a,n,d,o,n,,,
ability,7,,a,,b,i,l,,i,,t,y,
able,4,,a,,bl,e,,,,,,,
abolish,7,,a,,b,o,l,,i,sh,,,
about,5,,a,,b,ou,t,,,,,,
above,5,,a,,b,o,ve,,,,,,
abroad,6,,a,,br,oa,d,,,,,,
absence,7,,a,b,s,e,nce,,,,,,
absent,6,,a,b,s,e,nt,,,,,,
absorb,6,,a,b,s,o,rb,,,,,,
absurd,6,,a,b,s,u,rd,,,,,,
abuse,5,,a,,b,u,se,,,,,,
academy,7,,a,,c,a,d,,e,,m,y,
accent,6,,a,c,c,e,nt,,,,,,
accept,6,,a,c,c,e,pt,,,,,,
access,6,,a,c,c,e,ss,,,,,,
account,7,,a,c,c,ou,nt,,,,,,
accuse,6,,a,c,c,u,se,,,,,,
accused,7,,a,c,c,u,sed,,,,,,
achieve,7,,a,,ch,ie,ve,,,,,,
acid,4,,a,c,,i,d,,,,,,
acquire,7,,a,c,q,ui,re,,,,,,
acre,4,,a,,cr,e,,,,,,,
across,6,,a,,cr,o,ss,,,,,,
act,3,,a,ct,,,,,,,,,
action,6,,a,c,t,io,n,,,,,,
active,6,,a,c,t,i,ve,,,,,,
actor,5,,a,c,t,o,r,,,,,,
actress,7,,a,c,tr,e,ss,,,,,,
actual,6,,a,c,t,u,,,a,l,,,
acute,5,,a,,c,u,te,,,,,,
ad,2,,a,d,,,,,,,,,
adapt,5,,a,,d,a,pt,,,,,,
add,3,,a,dd,,,,,,,,,
address,7,,a,d,dr,e,ss,,,,,,
adhere,6,,a,d,h,e,re,,,,,,
adjust,6,,a,d,j,u,st,,,,,,
admire,6,,a,d,m,i,re,,,,,,
admit,5,,a,d,m,i,t,,,,,,
adopt,5,,a,,d,o,pt,,,,,,
adult,5,,a,,d,u,lt,,,,,,
advance,7,,a,d,v,a,nce,,,,,,
adverse,7,,a,d,v,e,rse,,,,,,
advice,6,,a,d,v,i,ce,,,,,,
advise,6,,a,d,v,i,se,,,,,,
affair,6,,a,f,f,ai,r,,,,,,
affect,6,,a,f,f,e,ct,,,,,,
afford,6,,a,f,f,o,rd,,,,,,
afraid,6,,a,,fr,ai,d,,,,,,
after,5,,a,f,t,e,r,,,,,,
again,5,,a,,g,ai,n,,,,,,
against,7,,a,,g,ai,nst,,,,,,
age,3,,a,ge,,,,,,,,,
aged,4,,a,ged,,,,,,,,,
agency,6,,a,,g,e,n,c,y,,,,
agenda,6,,a,,g,e,n,d,a,,,,
agent,5,,a,,g,e,nt,,,,,,
ago,3,,a,,g,o,,,,,,,
agree,5,,a,,gr,ee,,,,,,,
ahead,5,,a,,h,ea,d,,,,,,
aid,3,,ai,d,,,,,,,,,
aide,4,,ai,de,,,,,,,,,
aim,3,,ai,m,,,,,,,,,
air,3,,ai,r,,,,,,,,,
airline,7,,ai,r,l,i,ne,,,,,,
