lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,0,graduate,false,8,256,false,1,0.16
3,0,a,true,1,256,true,1,0.08
3,0,fix,true,3,256,true,3,0.2
3,0,new,true,3,256,true,3,0.12
3,0,resignation,false,11,256,false,2,0.12
3,0,alternative,false,11,256,false,2,0.2
3,0,lie,true,3,256,true,3,0.16
3,0,realize,false,7,256,false,2,0.12
3,0,rip,true,3,256,true,3,0.12
3,0,church,false,6,256,false,1,0.12
3,0,subtle,false,6,256,false,2,0.16
3,0,ice,true,3,256,true,3,0.12
3,0,awkward,false,7,256,false,1,0.12
3,0,and,true,3,256,true,3,0.12
3,0,life,false,4,256,false,2,0.12
3,0,mathematical,false,12,256,false,2,0.16
3,0,for,true,3,256,true,3,0.16
3,0,copper,false,6,256,false,3,0.12
3,0,horror,false,6,256,false,2,0.16
3,0,day,true,3,256,true,3,0.12
3,0,kit,true,3,256,true,3,0.16
3,0,flu,true,3,256,true,3,0.16
3,0,wow,true,3,256,true,3,0.12
3,0,lawyer,false,6,256,false,3,0.16
3,0,ad,true,2,256,true,2,0.08
3,0,utterly,false,7,256,false,1,0.12
3,0,jet,true,3,256,true,3,0.12
3,0,globe,false,5,256,false,1,0.08
3,0,refer,false,5,256,false,2,0.12
3,0,assumption,false,10,256,false,2,0.12
3,0,pig,true,3,256,true,3,0.2
3,0,fat,true,3,256,true,3,0.12
3,0,willing,false,7,256,false,2,0.12
3,0,fee,true,3,256,true,3,0.12
3,0,over,false,4,256,false,1,0.08
3,0,atrocity,false,8,256,false,2,0.12
3,0,representative,false,14,256,false,2,0.12
3,0,medicine,false,8,256,false,2,0.12
3,0,spill,false,5,256,false,2,0.12
3,0,two,true,3,256,true,3,0.12
3,0,toll,false,4,256,false,2,0.08
3,0,false,false,5,256,false,2,0.12
3,0,narrative,false,9,256,false,1,0.12
3,0,reside,false,6,256,false,2,0.12
3,0,fraction,false,8,256,false,2,0.12
3,0,photography,false,11,256,false,1,0.08
3,0,tap,true,3,256,true,3,0.12
3,0,guideline,false,9,256,false,2,0.12
