lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,0,fry,true,3,82,true,3,4237
3,0,prepared,false,8,82,false,1,28.5
3,0,web,true,3,82,true,3,52
3,0,cap,true,3,82,true,3,50.5
3,0,we,true,2,82,true,2,36.5
3,0,new,true,3,82,true,3,50
3,0,tap,true,3,82,true,3,48.5
3,0,wit,true,3,82,true,3,47.5
3,0,tie,true,3,82,true,3,45
3,0,mechanic,false,8,82,false,2,35
3,0,odd,true,3,82,true,3,46
3,0,experimental,false,12,82,false,1,27
3,0,permanent,false,9,82,false,3,45
3,0,bargain,false,7,82,false,3,42.5
3,0,hi,true,2,82,true,2,31
3,0,supreme,false,7,82,false,2,35
3,0,she,true,3,82,true,3,43
3,0,infrastructure,false,14,82,false,2,36.5
3,0,ego,true,3,82,true,3,42.5
3,0,rod,true,3,82,true,3,43
3,0,educated,false,8,82,false,1,23
3,0,flee,false,4,82,false,2,35.5
3,0,he,true,2,82,true,2,29
3,0,virus,false,5,82,false,2,39
3,0,tin,true,3,82,true,3,41.5
3,0,retirement,false,10,82,false,2,35
3,0,sit,true,3,82,true,3,44.5
3,0,low,true,3,82,true,3,43
3,0,not,true,3,82,true,3,38.5
3,0,innovative,false,10,82,false,2,34.5
3,0,saint,false,5,82,false,2,35.5
3,0,message,false,7,82,false,2,29.5
3,0,judicial,false,8,82,false,1,21
3,0,wait,false,4,82,false,3,46
3,0,defy,false,4,82,false,1,24
3,0,sum,true,3,82,true,3,38.5
3,0,benchmark,false,9,82,false,2,34.5
3,0,cup,true,3,82,true,3,40.5
3,0,organizer,false,9,82,false,2,27.5
3,0,metaphor,false,8,82,false,2,28.5
3,0,hit,true,3,82,true,3,39
3,0,son,true,3,82,true,3,38
3,0,blonde,false,6,82,false,1,23
3,0,connection,false,10,82,false,2,33
3,0,raw,true,3,82,true,3,41.5
3,0,adapt,false,5,82,false,2,33
3,0,contention,false,10,82,false,2,34.5
3,0,conceal,false,7,82,false,2,30
3,0,way,true,3,82,true,3,33.5
3,0,everywhere,false,10,82,false,1,21.5
3,0,comparison,false,10,82,false,2,33.5
3,0,tax,true,3,82,true,3,38
3,0,subsequently,false,12,82,false,2,35
3,0,bet,true,3,82,true,3,37
3,0,disaster,false,8,82,false,2,33
3,0,bin,true,3,82,true,3,39
3,0,football,false,8,82,false,2,31
3,0,fly,true,3,82,true,3,39
3,0,slam,false,4,82,false,1,20.5
3,0,jewellery,false,9,82,false,2,32.5
3,0,faculty,false,7,82,false,2,33
3,0,act,true,3,82,true,3,37
3,0,any,true,3,82,true,3,38
3,0,do,true,2,82,true,2,24
3,0,ear,true,3,82,true,3,36
3,0,review,false,6,82,false,2,30
3,0,tired,false,5,82,false,3,41.5
3,0,equip,false,5,82,false,1,16
3,0,general,false,7,82,false,2,30.5
