lettersIn,batchIn,wordIn,wordLengthIn,numWordsOut,numReadLettersOut,numNewLettersOut,timeOut
10,0,a,1,0,0,1,0.08
10,0,absence,7,1,1,6,0.4
10,0,absorb,6,2,3,3,0.2
10,0,absurd,6,3,3,3,0.2
10,0,academic,8,4,1,7,0.32
10,0,accelerate,10,5,2,8,0.48
10,0,accept,6,6,4,2,0.16
10,0,acceptable,10,7,6,4,0.28
10,0,accident,8,8,3,5,0.36
10,0,accomplish,10,9,3,7,0.36
10,0,accordance,10,10,4,6,0.32
10,0,accounting,10,11,4,6,0.44
10,0,accurate,8,12,3,5,0.28
10,0,activate,8,13,2,6,0.32
10,0,additional,10,14,1,9,0.52
10,0,adj,3,15,2,1,0.12
10,0,adjacent,8,16,3,5,0.28
10,0,adoption,8,17,2,6,0.32
10,0,aesthetic,9,18,1,8,0.44
10,0,affordable,10,19,1,9,0.4
10,0,afterwards,10,20,2,8,0.4
10,0,again,5,21,1,4,0.28
10,0,agree,5,22,2,3,0.2
10,0,ahead,5,23,1,4,0.2
10,0,aids,4,24,1,3,0.16
10,0,allocation,10,25,1,9,0.4
10,0,alongside,9,26,2,7,0.44
10,0,ambassador,10,27,1,9,0.4
10,0,ambulance,9,28,3,6,0.44
10,0,analysis,8,29,1,7,0.32
10,0,ancient,7,30,2,5,0.28
10,0,anger,5,31,2,3,0.2
10,0,annoyed,7,32,2,5,0.36
10,0,annoying,8,33,5,3,0.24
10,0,anybody,7,34,2,5,0.28
10,0,app,3,35,1,2,0.12
10,0,apparently,10,36,3,7,0.44
10,0,applaud,7,37,3,4,0.24
10,0,appreciate,10,38,3,7,0.36
10,0,approach,8,39,4,4,0.24
10,0,arguably,8,40,1,7,0.4
10,0,argue,5,41,4,1,0.12
10,0,army,4,42,2,2,0.16
10,0,around,6,43,2,4,0.24
10,0,artist,6,44,2,4,0.32
10,0,assault,7,45,1,6,0.32
10,0,assistant,9,46,3,6,0.32
10,0,associate,9,47,3,6,0.36
10,0,at,2,48,1,1,0.2
10,0,atrocity,8,49,2,6,0.32
10,0,authorize,9,50,1,8,0.4
10,0,average,7,51,1,6,0.28
10,0,baby,4,52,0,4,0.32
10,0,backing,7,53,2,5,0.48
10,0,balance,7,54,2,5,0.28
10,0,barrel,6,55,2,4,0.24
10,0,base,4,56,2,2,0.24
10,0,bat,3,57,2,1,0.08
10,0,bath,4,58,3,1,0.12
10,0,bay,3,59,2,1,0.08
10,0,beat,4,60,1,3,0.16
10,0,beauty,6,61,3,3,0.2
10,0,beer,4,62,2,2,0.12
10,0,beg,3,63,2,1,0.2
10,0,behalf,6,64,2,4,0.2
10,0,behave,6,65,4,2,0.2
10,0,belief,6,66,2,4,0.24
10,0,bell,4,67,3,1,0.12
10,0,belong,6,68,3,3,0.28
10,0,below,5,69,4,1,0.12
10,0,benchmark,9,70,2,7,0.32
10,0,betray,6,71,2,4,0.24
10,0,between,7,72,3,4,0.32
10,0,bin,3,73,1,2,0.12
10,0,birthday,8,74,2,6,0.32
10,0,biscuit,7,75,2,5,0.28
10,0,bite,4,76,2,2,0.16
10,0,blade,5,77,1,4,0.28
10,0,bless,5,78,2,3,0.2
10,0,blind,5,79,2,3,0.16
10,0,bomb,4,80,1,3,0.16
10,0,boost,5,81,2,3,0.16
10,0,boot,4,82,3,1,0.32
10,0,bother,6,83,2,4,0.64
10,0,bottle,6,84,3,3,0.8
10,0,boundary,8,85,2,6,0.56
10,0,box,3,86,2,1,0.16
10,0,boyfriend,9,87,2,7,0.68
10,0,brand,5,88,1,4,0.52
10,0,breach,6,89,2,4,0.36
